date_time,subject,subject_count
08/06/2017 22:42, Lib Dem Seats,1
08/06/2017 22:42," ""coalitionofchaos"" OR #coalitionofchaos",1
08/06/2017 22:42," ""exit poll"" OR #exitpoll",1169
08/06/2017 22:42," ""for the many"" OR #forthemany",23
08/06/2017 22:42," ""hung parliament"" OR #hungparliament",231
08/06/2017 22:42," ""strong and stable"" OR #strongandstable",38
08/06/2017 22:43, BBC Coverage,65
08/06/2017 22:43, Conservative Seats,32
08/06/2017 22:43, ITV Coverage,3
08/06/2017 22:43, Labour Seats,49
08/06/2017 22:43," ""exit poll"" OR #exitpoll",1131
08/06/2017 22:43," ""for the many"" OR #forthemany",21
08/06/2017 22:43," ""hung parliament"" OR #hungparliament",205
08/06/2017 22:43," ""strong and stable"" OR #strongandstable",40
08/06/2017 22:44, BBC Coverage,77
08/06/2017 22:44, Conservative Seats,31
08/06/2017 22:44, ITV Coverage,7
08/06/2017 22:44, Labour Seats,38
08/06/2017 22:44, SNP Seats,2
08/06/2017 22:44," ""exit poll"" OR #exitpoll",1078
08/06/2017 22:44," ""for the many"" OR #forthemany",14
08/06/2017 22:44," ""hung parliament"" OR #hungparliament",216
08/06/2017 22:44," ""strong and stable"" OR #strongandstable",48
08/06/2017 22:45, BBC Coverage,77
08/06/2017 22:45, Conservative Seats,35
08/06/2017 22:45, ITV Coverage,5
08/06/2017 22:45, Labour Seats,36
08/06/2017 22:45, SNP Seats,1
08/06/2017 22:45," ""exit poll"" OR #exitpoll",927
08/06/2017 22:45," ""for the many"" OR #forthemany",19
08/06/2017 22:45," ""hung parliament"" OR #hungparliament",192
08/06/2017 22:45," ""strong and stable"" OR #strongandstable",49
08/06/2017 22:46, BBC Coverage,62
08/06/2017 22:46, Conservative Seats,24
08/06/2017 22:46, ITV Coverage,9
08/06/2017 22:46, Labour Seats,137
08/06/2017 22:46, SNP Seats,1
08/06/2017 22:46," ""exit poll"" OR #exitpoll",812
08/06/2017 22:46," ""for the many"" OR #forthemany",22
08/06/2017 22:46," ""hung parliament"" OR #hungparliament",177
08/06/2017 22:46," ""strong and stable"" OR #strongandstable",42
08/06/2017 22:47, BBC Coverage,51
08/06/2017 22:47, Conservative Seats,36
08/06/2017 22:47, ITV Coverage,7
08/06/2017 22:47, Labour Seats,146
08/06/2017 22:47, Lib Dem Seats,1
08/06/2017 22:47, SNP Seats,1
08/06/2017 22:47," ""coalitionofchaos"" OR #coalitionofchaos",1
08/06/2017 22:47," ""exit poll"" OR #exitpoll",1019
08/06/2017 22:47," ""for the many"" OR #forthemany",13
08/06/2017 22:47," ""hung parliament"" OR #hungparliament",195
08/06/2017 22:47," ""strong and stable"" OR #strongandstable",29
08/06/2017 22:48, BBC Coverage,76
08/06/2017 22:48, Conservative Seats,33
08/06/2017 22:48, ITV Coverage,9
08/06/2017 22:48, Labour Seats,138
08/06/2017 22:48, Lib Dem Seats,1
08/06/2017 22:48, SNP Seats,2
08/06/2017 22:48," ""exit poll"" OR #exitpoll",1171
08/06/2017 22:48," ""for the many"" OR #forthemany",21
08/06/2017 22:48," ""hung parliament"" OR #hungparliament",213
08/06/2017 22:48," ""strong and stable"" OR #strongandstable",32
08/06/2017 22:49, BBC Coverage,76
08/06/2017 22:49, Conservative Seats,30
08/06/2017 22:49, ITV Coverage,6
08/06/2017 22:49, Labour Seats,122
08/06/2017 22:49, Lib Dem Seats,1
08/06/2017 22:49," ""coalitionofchaos"" OR #coalitionofchaos",1
08/06/2017 22:49," ""exit poll"" OR #exitpoll",1215
08/06/2017 22:49," ""for the many"" OR #forthemany",11
08/06/2017 22:49," ""hung parliament"" OR #hungparliament",198
08/06/2017 22:49," ""strong and stable"" OR #strongandstable",43
08/06/2017 22:50, BBC Coverage,79
08/06/2017 22:50, Conservative Seats,28
08/06/2017 22:50, ITV Coverage,3
08/06/2017 22:50, Labour Seats,99
08/06/2017 22:50," ""coalitionofchaos"" OR #coalitionofchaos",2
08/06/2017 22:50," ""exit poll"" OR #exitpoll",1203
08/06/2017 22:50," ""for the many"" OR #forthemany",25
08/06/2017 22:50," ""hung parliament"" OR #hungparliament",210
08/06/2017 22:50," ""strong and stable"" OR #strongandstable",48
08/06/2017 22:51, BBC Coverage,70
08/06/2017 22:51, Conservative Seats,30
08/06/2017 22:51, ITV Coverage,4
08/06/2017 22:51, Labour Seats,84
08/06/2017 22:51, Lib Dem Seats,3
08/06/2017 22:51, SNP Seats,1
08/06/2017 22:51," ""exit poll"" OR #exitpoll",1154
08/06/2017 22:51," ""for the many"" OR #forthemany",14
08/06/2017 22:51," ""hung parliament"" OR #hungparliament",228
08/06/2017 22:51," ""strong and stable"" OR #strongandstable",50
08/06/2017 22:52, BBC Coverage,68
08/06/2017 22:52, Conservative Seats,34
08/06/2017 22:52, ITV Coverage,7
08/06/2017 22:52, Labour Seats,73
08/06/2017 22:52, Lib Dem Seats,1
08/06/2017 22:52, SNP Seats,1
08/06/2017 22:52," ""exit poll"" OR #exitpoll",1011
08/06/2017 22:52," ""for the many"" OR #forthemany",26
08/06/2017 22:52," ""hung parliament"" OR #hungparliament",202
08/06/2017 22:52," ""strong and stable"" OR #strongandstable",40
08/06/2017 22:53, BBC Coverage,67
08/06/2017 22:53, Conservative Seats,42
08/06/2017 22:53, ITV Coverage,6
08/06/2017 22:53, Labour Seats,65
08/06/2017 22:53, Lib Dem Seats,1
08/06/2017 22:53, SNP Seats,2
08/06/2017 22:53," ""coalitionofchaos"" OR #coalitionofchaos",1
08/06/2017 22:53," ""exit poll"" OR #exitpoll",1070
08/06/2017 22:53," ""for the many"" OR #forthemany",18
08/06/2017 22:53," ""hung parliament"" OR #hungparliament",215
08/06/2017 22:53," ""strong and stable"" OR #strongandstable",45
08/06/2017 22:54, BBC Coverage,50
08/06/2017 22:54, Conservative Seats,40
08/06/2017 22:54, ITV Coverage,3
08/06/2017 22:54, Labour Seats,71
